City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,guerrero negro,27.9769,-114.0611,70.45,59,0,16.26,MX,1698515751
346,el fasher,13.6279,25.3494,88.09,16,86,11.45,SD,1698515751
347,mocimboa,-11.3167,40.35,78.1,84,7,9.19,MZ,1698515752
348,waddan,29.1614,16.139,79.16,20,69,6.51,LY,1698515752
349,saint-philippe,-21.3585,55.7679,76.59,84,43,6.8,RE,1698515752
350,santa marta de ortigueira,43.6833,-7.85,58.24,46,100,3.0,ES,1698515752
351,rio grande,-32.035,-52.0986,80.71,88,92,5.35,BR,1698515471
352,mariental,-24.6333,17.9667,75.81,14,0,13.78,NA,1698515752
353,dudinka,69.4058,86.1778,4.62,92,90,12.86,RU,1698515752
354,turabah,21.2141,41.6331,74.28,50,100,3.29,SA,1698515752
355,mayqayyng,51.4625,75.7986,33.28,47,100,14.58,KZ,1698515752
356,khirkiyan,22.1667,76.85,69.57,42,30,3.36,IN,1698515753
357,lesozavodsk,45.4794,133.4244,33.26,48,15,3.44,RU,1698515753
358,aykhal,66.0,111.5,1.09,99,89,9.33,RU,1698515753
359,sao joao da barra,-21.6403,-41.0511,82.49,87,100,14.76,BR,1698515542
360,kodinsk,58.6881,99.1844,26.44,63,100,10.74,RU,1698515753
361,alice springs,-23.7,133.8833,53.15,14,56,4.61,AU,1698515753
